name,year,km_driven,fuel,seller_type,transmission,owner,Rating,ExShowroom Price,selling_price
Tata Indica Vista Aqua 1.4 TDI,2010,120000,Diesel,Individual,Manual,Second Owner,9,106001,100000
Tata Nano Lx BSIV,2012,50000,Petrol,Individual,Manual,Second Owner,9,108556,100000
Tata Indica Vista Aqua TDI BSIII,2011,70000,Diesel,Individual,Manual,First Owner,11,120678,120000
Maruti Wagon R LXI Minor,2010,80000,Petrol,Individual,Manual,Second Owner,9,122917,100000
Chevrolet Beat LT,2010,80000,Petrol,Individual,Manual,Second Owner,10,144902,130000
Tata Nano Lx,2011,20000,Petrol,Individual,Manual,First Owner,9.98,145258,120000
Maruti Zen Estilo VXI BSIV,2010,50000,Petrol,Individual,Manual,Second Owner,9,147079,130000
Maruti A-Star Vxi,2010,70000,Petrol,Individual,Manual,Second Owner,10,148965,130000
Chevrolet Beat Diesel LS,2011,50000,Diesel,Individual,Manual,First Owner,9,149034,106000
Tata Indigo TDI,2013,125000,Diesel,Individual,Manual,First Owner,9,152795,125000
Maruti Alto LX,2011,40000,Petrol,Individual,Manual,First Owner,10,154264,151000
Maruti Ritz VDi,2012,80000,Diesel,Individual,Manual,Second Owner,10.29,154812,110000
Tata Nano Lx,2011,20000,Petrol,Individual,Manual,First Owner,11,155525,120000
Chevrolet Spark 1.0 LS,2011,60000,Petrol,Individual,Manual,Third Owner,10,156895,125000
Tata Indica Vista Terra 1.4 TDI,2010,80000,Diesel,Individual,Manual,First Owner,9,157043,100000
Tata Indigo LS BSII,2012,110000,Diesel,Individual,Manual,First Owner,10.15,160528,160000
Maruti Alto 800 LXI,2013,50000,Petrol,Individual,Manual,First Owner,10.06,161136,110000
Tata Nano CX SE,2015,45000,Petrol,Dealer,Manual,First Owner,10.65,162354,110000
Chevrolet Beat LT,2010,80000,Petrol,Individual,Manual,Second Owner,9.86,162537,130000
Maruti Alto 800 LXI,2015,35000,Petrol,Individual,Manual,First Owner,10.87,163089,114999
Hyundai i10 Magna 1.2,2010,90000,Petrol,Individual,Manual,Second Owner,10,163411,150000
Maruti Alto 800 LXI,2016,40000,Petrol,Individual,Manual,First Owner,10,163643,130000
Hyundai Accent Executive,2010,67000,Petrol,Individual,Manual,Third Owner,10.93,168195,120000
Ford Fiesta Titanium 1.5 TDCi,2012,120000,Diesel,Individual,Manual,First Owner,9.85,168704,165000
Hyundai EON Era Plus,2013,80000,Petrol,Individual,Manual,First Owner,11,169005,160000
Hyundai EON 1.0 Era Plus,2018,21302,Petrol,Individual,Manual,First Owner,12,170565,100000
Tata Indica Vista Terra 1.4 TDI,2010,80000,Diesel,Individual,Manual,First Owner,13,170597,100000
Hyundai EON D Lite Plus,2012,70000,Petrol,Individual,Manual,Second Owner,10.4,171852,160000
Tata Indica Vista Quadrajet LS,2014,166000,Diesel,Individual,Manual,Fourth & Above Owner,11.92,176527,125000
Chevrolet Beat Diesel LS,2012,50000,Diesel,Individual,Manual,First Owner,10,177451,160000
Ford Figo Diesel Titanium,2011,120000,Diesel,Individual,Manual,Second Owner,10,177915,150000
Volkswagen Polo Diesel Trendline 1.2L,2010,144000,Diesel,Individual,Manual,Fourth & Above Owner,9,178777,130000
Ford Figo Diesel Titanium,2010,90000,Diesel,Individual,Manual,Third Owner,9.2,179027,105000
Tata Indica Vista Aura 1.2 Safire,2010,120000,Petrol,Individual,Manual,Second Owner,14.18,180295,100000
Tata Manza Aura (ABS) Safire BS IV,2010,77073,Petrol,Individual,Manual,Second Owner,13,181526,110000
Tata Indica Vista Aqua 1.3 Quadrajet,2010,110000,Diesel,Individual,Manual,Second Owner,13,183163,110000
Tata Indica Vista Quadrajet LS,2012,140000,Diesel,Individual,Manual,First Owner,10.98,184323,120000
Chevrolet Spark 1.0 LT,2012,28000,Petrol,Individual,Manual,First Owner,12,184642,125000
Tata Indigo TDI,2013,100000,Diesel,Individual,Manual,First Owner,10.28,185893,182000
Chevrolet Beat LT,2010,80000,Petrol,Individual,Manual,Second Owner,13,185992,135000
Maruti Alto LX,2011,60000,Petrol,Individual,Manual,Third Owner,10.77,186723,114999
Tata Indigo CR4,2011,90000,Diesel,Individual,Manual,First Owner,11,188108,130000
Chevrolet Beat Diesel LS,2013,93900,Diesel,Individual,Manual,Second Owner,15,188382,130000
Maruti Alto LXi,2010,36000,Petrol,Individual,Manual,First Owner,11,189677,160000
Maruti A-Star Vxi,2011,70000,Petrol,Individual,Manual,Second Owner,9.22,189731,150000
Maruti Alto 800 LXI,2017,50000,Petrol,Individual,Manual,First Owner,9,190449,160000
Tata Indigo LX,2011,60000,Diesel,Individual,Manual,Second Owner,12.12,191190,140000
Tata Indica Vista TDI LX,2011,120000,Diesel,Individual,Manual,Second Owner,15,192003,125000
Maruti Omni MPI STD BSIV,2016,120000,Petrol,Individual,Manual,First Owner,15,193588,120000
Tata Nano Lx,2011,20000,Petrol,Individual,Manual,First Owner,13.17,194246,120000
Maruti Alto 800 LXI,2012,50000,Petrol,Individual,Manual,First Owner,10,194989,120000
Tata Indigo LX,2012,120000,Diesel,Individual,Manual,First Owner,15,195044,125000
Chevrolet Spark 1.0 LT BS3,2013,60000,Petrol,Individual,Manual,Second Owner,10,195568,150000
Chevrolet Beat LT,2010,70000,Petrol,Individual,Manual,Second Owner,9,195610,114999
